EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Y_N
901,"Timothy White",35,Yes,"Travel Rarely",1061,"Research and Development",1,2,"Life Science",1,4,Male,2009-05-15,87,2,4,"Research Scientist",1,Married,19753,17669,6,NULL,Yes,16,3,3,80,1,17,5,3,15,3,6,6,1
5786,"Joshua Allen",34,No,"No Travel",685,"Research and Development",7,3,"Life Science",1,4,Male,2011-06-26,52,2,5,"Research Director",2,Single,18850,22960,5,NULL,Yes,24,3,4,80,3,14,5,2,13,13,12,7,0
2352,"Emily Smith",33,No,"Travel Rarely",499,Sales,6,3,Other,1,4,Female,2021-02-26,30,4,3,"Sales Executive",4,Married,7757,10392,6,NULL,No,15,3,2,80,2,12,5,3,3,3,0,3,0
7759,"Steven Scott",33,No,"Travel Rarely",561,Sales,5,4,"Life Science",1,3,Male,2023-07-01,81,3,5,Manager,4,Married,16307,8467,4,NULL,No,22,4,4,80,1,15,1,3,1,1,1,1,0
7993,"William Sanchez",32,No,"Travel Frequently",218,"Research and Development",8,4,"Life Science",1,3,Male,2015-01-19,40,3,4,"Healthcare Representative",3,Married,14384,10931,5,NULL,No,14,3,4,80,1,11,1,3,9,3,5,1,0
6563,"Mary Martinez",56,No,"Travel Rarely",565,"Human Resources",2,4,"Life Science",1,2,Female,2020-06-17,56,3,5,Manager,3,Missing,19999,17042,3,NULL,No,23,4,3,80,0,36,3,2,4,4,1,0,0
5649,"Kenneth Lee",34,No,"Travel Rarely",1446,"Research and Development",22,3,Medical,1,4,Male,2020-06-20,77,3,3,"Healthcare Representative",3,Married,7593,4301,2,NULL,Yes,18,3,3,80,3,12,1,2,4,2,1,0,0
4214,"John Flores",27,No,"Travel Rarely",1023,"Human Resources",2,4,"Technical Degree",1,3,Male,2024-12-07,87,4,3,Manager,1,Single,8285,9177,4,NULL,Yes,14,3,1,80,0,7,5,4,0,0,0,0,0
3680,"Susan Robinson",37,Yes,"Travel Frequently",408,Sales,5,5,Marketing,1,4,Female,2023-01-11,93,3,3,Manager,4,Divorced,7711,16050,2,NULL,No,11,3,2,80,1,17,4,3,1,0,0,1,1
4227,"Joshua Allen",22,No,"Travel Rarely",1103,"Research and Development",4,2,"Life Science",1,4,Male,2023-04-29,48,3,1,"Research Scientist",3,Single,2240,7543,2,NULL,No,19,3,4,80,1,1,1,3,1,0,0,0,0
5805,"Lisa Moore",18,Yes,"Travel Rarely",257,"Research and Development",1,1,"Technical Degree",1,3,Female,2024-06-03,94,3,1,"Manufacturing Director",1,Divorced,2452,21623,2,NULL,Yes,23,3,2,80,2,0,6,2,0,0,0,0,1
4434,"Susan Perez",30,No,"Travel Rarely",216,Sales,1,4,Marketing,1,1,Female,2018-12-17,95,4,4,"Sales Representative",4,Single,12308,24846,5,NULL,No,17,3,4,80,1,12,3,3,6,1,4,1,0
6587,"Ronald Brown",18,Yes,"Travel Frequently",745,Sales,7,5,"Technical Degree",1,4,Male,2024-11-23,91,4,1,"Sales Executive",3,Married,3100,25495,3,NULL,No,16,3,1,80,0,0,5,2,0,0,0,0,1
7507,"Timothy Wright",34,Yes,"No Travel",1113,Sales,1,5,"Life Science",1,2,Male,2016-08-22,60,3,4,"Sales Executive",3,Divorced,13074,5857,5,NULL,No,11,3,3,80,0,12,4,3,8,6,8,7,1
2733,"Carol Thomas",32,Missing,"Travel Rarely",225,"Research and Development",18,3,Medical,1,3,Female,2019-06-18,90,4,3,"Research Scientist",4,Single,10580,4663,3,NULL,Yes,16,3,2,80,1,14,2,3,5,0,0,2,NULL
2778,"Margaret Harris",31,Yes,"Travel Rarely",988,Sales,1,5,"Life Science",1,2,Female,2023-03-20,43,4,2,"Sales Executive",4,Divorced,4782,17499,8,NULL,No,14,3,4,80,1,9,4,3,1,1,1,0,1
8934,"Anthony King",37,No,"Travel Rarely",588,"Research and Development",22,3,Medical,1,4,Male,2011-10-22,66,3,3,"Research Scientist",4,Divorced,10270,10523,3,NULL,No,22,4,4,80,1,17,1,4,13,10,0,11,0
558,"William King",46,No,"Travel Rarely",429,Sales,10,5,NULL,1,4,Male,2024-11-02,33,4,3,"Sales Representative",4,Divorced,8421,20732,1,NULL,Yes,16,3,4,80,0,27,4,2,0,0,0,0,0
931,"Kenneth Jackson",38,No,"Travel Frequently",1360,"Research and Development",29,5,"Life Science",1,2,Male,2007-07-18,89,4,4,"Research Scientist",2,Single,16417,20580,2,NULL,No,14,3,3,80,1,19,2,4,17,9,16,12,0
8099,"George Davis",25,No,"Travel Frequently",170,"Research and Development",7,4,Medical,1,3,Male,2023-01-17,39,2,3,"Healthcare Representative",2,Married,10207,16247,2,NULL,No,14,3,4,80,2,3,2,4,1,0,0,0,0
9442,"Steven Walker",22,No,"Travel Rarely",502,Sales,7,3,"Technical Degree",1,3,Male,2024-12-28,89,3,1,Manager,4,Married,2025,26409,4,NULL,No,14,3,2,80,1,4,2,2,0,0,0,0,0
7782,"Mark Johnson",58,No,"Travel Rarely",741,Sales,9,5,"Technical Degree",1,4,Male,1989-07-27,67,2,3,"Sales Executive",2,Divorced,7555,19244,1,NULL,No,21,3,3,80,0,38,5,3,35,31,4,4,0
5582,"Daniel King",59,Yes,Missing,550,"Research and Development",1,4,Medical,1,4,Male,2017-04-13,93,1,3,"Healthcare Representative",2,Single,,23257,1,NULL,Yes,19,3,1,80,0,38,3,4,7,2,1,0,1
3556,"Linda Perez",22,No,"No Travel",1371,Sales,2,1,"Technical Degree",1,3,Female,2021-11-18,67,3,2,"Sales Executive",4,Divorced,6226,17161,5,NULL,No,18,3,3,80,1,3,6,3,3,2,1,3,0
4617,"Ryan Johnson",46,No,"Travel Rarely",1052,"Research and Development",4,3,Medical,1,2,Male,2006-10-09,33,4,3,"Manufacturing Director",4,Single,9878,19345,5,NULL,Yes,24,3,3,80,0,25,3,3,18,1,4,15,0
2269,"Andrew Nguyen",22,No,"Travel Frequently",1089,"Research and Development",2,4,"Life Science",1,1,Male,2024-10-13,75,2,1,"Research Scientist",4,Married,3123,23207,2,NULL,No,16,3,4,80,0,2,1,4,0,0,0,0,0
452,"Charles Taylor",38,Yes,"Travel Frequently",1140,Sales,4,4,Marketing,1,3,Male,2011-05-22,82,2,3,"Sales Executive",2,Single,NA,22873,1,NULL,Yes,21,3,1,80,0,17,1,3,13,7,8,9,1
1588,"Deborah Martin",36,No,"Travel Rarely",1107,Sales,9,3,Other,1,1,Female,2010-06-07,37,3,4,"Sales Executive",1,Single,16454,26350,2,NULL,No,19,3,4,80,1,15,3,2,14,13,9,11,0
1278,"Lisa Torres",50,Yes,"Travel Rarely",1396,Sales,1,4,Medical,1,1,Female,1993-07-09,97,4,5,"Sales Executive",1,Married,19999,16870,4,NULL,No,20,3,1,80,0,31,2,2,31,13,11,19,1
5028,"Lisa Allen",52,No,"Travel Rarely",677,"Research and Development",2,2,Medical,1,3,Female,2024-08-04,83,3,5,"Laboratory Technician",3,Married,18481,19201,4,NULL,No,15,3,2,80,1,33,0,3,0,0,0,0,0
6841,"Charles Gonzalez",44,No,"Travel Rarely",1218,"Research and Development",3,3,Medical,1,3,Male,2015-05-03,80,3,4,"Laboratory Technician",4,Single,15358,15932,3,NULL,No,20,3,3,80,0,22,1,3,9,2,4,2,0
6741,"Andrew Martin",25,Yes,"Travel Rarely",813,"Research and Development",6,3,NULL,1,1,Male,2019-09-01,55,4,3,"Research Scientist",3,Married,10298,17163,4,NULL,No,17,4,4,80,1,6,2,3,5,5,0,0,1
4922,"Melissa Wilson",35,No,"Travel Rarely",589,"Research and Development",4,3,Medical,1,4,Female,2016-07-30,42,3,4,"Laboratory Technician",2,Married,12009,9218,4,NULL,No,12,3,4,80,2,17,1,3,8,1,2,6,0
3543,"Nancy Hernandez",45,No,"No Travel",294,"Research and Development",29,5,"Technical Degree",1,3,Female,2019-09-29,62,4,3,"Laboratory Technician",4,Divorced,8190,9218,4,NULL,No,20,3,3,80,1,24,2,2,5,3,3,1,0
823,"Barbara Rodriguez",31,No,"Travel Rarely",797,Sales,8,4,Marketing,1,3,Female,2020-12-23,65,2,3,"Sales Representative",3,Married,8006,8888,1,NULL,No,17,3,1,80,1,13,2,2,4,3,4,0,0
6893,"Jennifer Sanchez",45,Yes,"Travel Rarely",622,Sales,6,4,Marketing,1,4,Female,2003-04-01,67,3,5,Manager,2,Married,19235,8592,4,NULL,No,14,3,1,80,0,24,2,2,21,14,19,6,1
4988,"Joseph Jackson",44,No,"Travel Rarely",339,"Research and Development",1,4,"Technical Degree",1,4,Male,2013-08-09,75,3,3,"Healthcare Representative",3,Married,8660,5315,4,NULL,No,19,3,3,80,0,24,2,3,11,1,3,6,0
2925,"Richard King",31,No,"Travel Rarely",589,Sales,13,4,"Human Resources",1,3,Male,2020-08-10,84,1,2,Manager,4,Married,5593,23562,0,NULL,No,21,3,4,80,1,9,3,4,4,2,0,3,0
4374,"Elizabeth Torres",38,Yes,"Travel Rarely",1176,"Research and Development",6,1,"Life Science",1,3,Female,2010-01-26,97,3,3,"Research Scientist",1,Divorced,11682,9525,4,NULL,Yes,21,3,3,80,1,16,3,3,14,8,10,2,1
3774,"Laura Johnson",27,No,"Travel Rarely",424,Sales,16,4,Other,1,4,Female,2019-08-08,83,3,2,"Sales Executive",2,Married,5281,16199,1,NULL,No,14,3,4,80,1,6,2,3,5,4,2,4,0
8823,"Timothy Taylor",32,No,"Travel Rarely",1002,Sales,18,3,"Life Science",1,1,Male,2012-05-03,74,2,4,"Sales Executive",1,Married,10938,11356,4,NULL,No,16,3,4,80,1,14,2,4,12,1,3,1,0
3898,"Joshua Nguyen",35,No,"Travel Rarely",1447,Sales,9,3,"Life Science",1,3,Male,2022-08-12,99,2,3,"Sales Representative",4,Divorced,11063,26270,4,NULL,No,16,3,3,80,0,13,4,3,2,2,1,0,0
276,"Robert King",32,No,"Travel Rarely",217,Sales,1,3,Medical,1,2,Male,2023-08-28,48,3,4,"Sales Executive",1,Divorced,18003,8067,3,NULL,No,14,4,4,80,0,10,2,2,1,1,0,0,0
3070,"Andrew Hernandez",35,No,"Travel Frequently",113,"Research and Development",2,4,"Life Science",1,3,Male,2015-09-14,32,3,4,"Research Director",2,Married,13610,7333,7,NULL,No,12,3,4,80,0,14,2,4,9,0,8,6,0
3080,"Thomas White",38,Yes,"Travel Rarely",485,"Research and Development",9,1,"Life Science",1,1,Male,2016-09-05,61,4,4,"Research Scientist",4,Single,14920,2450,5,NULL,Yes,13,3,3,80,2,19,1,2,8,7,1,4,1
2427,"Karen Anderson",26,No,"Travel Rarely",1359,"Research and Development",2,3,"Life Science",1,4,Female,2019-09-27,33,3,3,"Healthcare Representative",4,Single,9154,2585,1,NULL,No,22,3,4,80,1,5,6,2,5,5,1,5,0
6372,"Laura Martin",43,No,"Travel Rarely",493,"Research and Development",20,3,"Life Science",1,4,Female,2022-05-22,72,2,4,"Research Director",4,Divorced,16170,23512,5,NULL,Yes,21,3,4,80,1,21,2,3,2,1,0,0,0
9425,"David Gonzalez",38,Missing,"Travel Rarely",227,"Research and Development",4,2,"Life Science",1,4,Male,2017-10-16,40,3,5,"Research Scientist",4,Married,15737,10122,1,NULL,Yes,16,4,1,80,0,16,2,2,7,5,3,4,NULL
2083,"David Hill",48,Yes,"No Travel",435,"Human Resources",6,3,"Human Resources",1,3,Male,2018-07-22,32,4,4,Manager,1,Single,14271,5644,1,NULL,Yes,13,3,3,80,0,27,3,3,6,1,6,4,1
8668,"Karen Moore",37,Yes,"Travel Rarely",270,"Research and Development",11,3,"Life Science",1,4,Female,2019-01-13,71,3,4,"Research Scientist",2,Married,12927,16145,4,NULL,No,23,3,3,80,1,18,2,3,5,2,3,1,1
5663,"Daniel Taylor",51,No,"Travel Frequently",730,"Research and Development",17,2,Medical,1,2,Male,2008-06-28,35,3,4,"Laboratory Technician",2,Married,13173,18904,5,NULL,Yes,13,3,2,80,0,33,2,3,16,0,3,8,0
1303,"Barbara Harris",51,No,"Travel Frequently",1400,"Research and Development",3,3,Medical,1,3,Female,2008-12-06,88,3,5,Manager,3,Married,12943,4418,1,NULL,No,22,3,4,80,0,29,1,3,16,4,13,15,0
7624,"George Lewis",48,No,"No Travel",566,"Research and Development",16,3,"Life Science",1,2,"Unmapped Value",2003-06-08,57,2,4,"Manufacturing Director",2,Married,16855,11109,4,NULL,Yes,15,3,3,80,2,30,0,4,21,17,18,10,0
2410,"Ronald Hernandez",52,No,"Travel Rarely",1211,Sales,6,1,Other,1,3,Male,1993-05-27,34,3,4,"Sales Executive",2,Single,16409,13566,1,NULL,Yes,20,3,1,80,1,34,0,3,31,16,16,10,0
228,"Jason Davis",22,No,"Travel Rarely",1120,Sales,15,3,Other,1,4,Male,2023-03-11,87,2,1,"Sales Executive",2,Married,2413,8760,2,NULL,No,11,3,4,80,1,1,0,2,1,1,1,1,0
7657,"Daniel Wilson",36,Yes,"Travel Rarely",1424,"Research and Development",11,3,"Life Science",1,4,Male,2008-03-19,45,1,3,"Manufacturing Director",4,Divorced,6719,25287,4,NULL,Yes,23,3,4,80,0,17,1,3,16,8,16,1,1
2227,"Brian Robinson",37,No,"Travel Rarely",816,"Research and Development",8,2,"Life Science",1,1,Male,2017-05-30,54,3,4,"Laboratory Technician",4,Married,10731,15893,1,NULL,No,16,3,4,80,0,17,4,3,7,3,0,0,0
1696,"Margaret Gonzalez",32,No,"Travel Rarely",316,"Research and Development",1,3,Medical,1,3,Female,2017-03-12,32,2,3,"Laboratory Technician",2,Single,7162,21054,1,NULL,Yes,18,3,1,80,0,14,4,4,7,7,3,1,0
161,"Steven Sanchez",38,No,"Travel Rarely",731,Sales,10,5,Marketing,1,4,Male,2010-07-24,31,4,5,"Sales Executive",4,Single,14580,13191,5,NULL,No,22,3,2,80,1,18,1,3,14,13,6,10,0
2669,"Melissa King",22,No,"Travel Frequently",1003,Sales,28,4,"Human Resources",1,4,Female,2024-08-06,58,2,2,Manager,3,Single,4331,10495,3,NULL,No,16,3,1,80,1,1,2,2,0,0,0,0,0
5760,"Elizabeth Martin",99,No,"Travel Rarely",970,Sales,17,3,Marketing,1,2,Female,2011-08-05,67,2,3,"Sales Representative",2,Divorced,6990,22998,5,NULL,No,23,3,3,80,0,18,2,3,13,6,4,4,0
890,"David Williams",37,No,"Travel Frequently",102,"Research and Development",2,1,"Human Resources",1,4,Male,2022-05-01,34,2,4,"Research Scientist",1,Married,15055,10927,3,NULL,No,17,3,2,80,0,19,3,3,2,2,1,0,0
3503,"Matthew Flores",33,No,Missing,256,Sales,12,2,"Technical Degree",1,3,Male,2016-09-25,97,4,4,"Sales Executive",4,Single,16101,6359,1,NULL,No,18,3,3,80,1,11,4,3,8,8,0,0,0
7690,"George Ramirez",36,No,"Travel Rarely",1127,"Research and Development",2,3,"Life Science",1,2,Male,2014-06-27,48,4,4,"Laboratory Technician",3,Married,16272,16694,4,NULL,Yes,20,3,3,80,1,18,5,4,10,4,6,1,0
7023,"Steven Allen",51,No,"Travel Rarely",305,"Research and Development",11,2,Medical,1,3,Male,1997-10-03,33,3,4,"Healthcare Representative",4,Single,14806,21520,3,NULL,No,14,3,2,80,0,30,5,3,27,12,21,7,0
7596,"Amanda Williams",44,No,"Travel Rarely",468,"Research and Development",12,4,"Technical Degree",1,4,Female,2002-11-27,90,4,4,"Healthcare Representative",1,Divorced,13907,13660,3,NULL,No,20,3,3,80,1,24,3,3,22,13,8,16,0
3180,"Steven Lee",32,No,"Travel Rarely",1205,"Research and Development",7,3,Medical,1,3,Male,2018-10-16,84,2,4,"Research Scientist",2,Married,19321,4258,2,NULL,No,12,3,3,80,2,11,2,2,6,4,1,2,0
6990,"Mark Wilson",36,Yes,"No Travel",343,"Research and Development",3,3,Medical,1,3,Male,2013-10-29,53,3,3,"Laboratory Technician",2,Divorced,8121,11676,3,NULL,Yes,12,3,4,80,0,17,4,3,11,3,6,4,1
7431,"Sandra King",36,Yes,"Travel Rarely",1254,Sales,10,3,Marketing,1,4,Female,2021-08-24,33,3,3,"Sales Representative",1,Single,11512,19336,2,NULL,Yes,23,3,4,80,1,15,2,4,3,3,2,0,1
5222,"Cynthia King",27,No,"Travel Rarely",1258,"Research and Development",11,4,"Technical Degree",1,1,Female,2019-09-01,33,2,3,"Research Scientist",1,Divorced,6353,9628,1,NULL,No,19,3,1,80,1,7,2,1,5,3,5,2,0
6756,"Ashley Walker",42,Yes,"Travel Rarely",430,Sales,5,4,Marketing,1,1,Female,2006-08-22,62,3,4,"Sales Representative",1,Married,8600,2418,5,NULL,No,16,3,2,80,1,23,1,3,18,11,4,2,1
7715,"John Torres",30,Yes,"No Travel",1133,Sales,4,5,Marketing,1,3,Male,2015-05-01,67,3,2,"Sales Executive",4,Single,6363,25988,1,NULL,Yes,23,3,2,80,0,11,4,2,9,5,4,8,1
2,"Anthony Brown",39,No,"No Travel",1074,"Research and Development",7,4,"Life Science",1,4,Male,2014-12-23,71,3,3,"Research Director",4,Married,8376,26976,5,NULL,No,13,3,3,80,1,17,4,4,10,0,5,6,0
2529,"Nancy Miller",47,Yes,"No Travel",763,"Research and Development",29,3,"Life Science",1,2,Female,2014-02-20,45,4,4,"Healthcare Representative",4,Divorced,9889,3809,6,NULL,No,20,3,4,80,1,26,4,1,10,10,5,0,1
9028,"Andrew Garcia",41,No,"Travel Rarely",691,"Research and Development",14,3,Medical,1,2,Male,2006-08-22,35,3,5,"Research Scientist",3,Married,19999,18776,2,NULL,No,24,3,4,80,2,19,2,2,18,0,18,2,0
9681,"Joseph Sanchez",26,No,"Travel Rarely",424,Sales,19,5,Marketing,1,1,Male,2020-01-15,47,2,2,"Sales Executive",4,Married,4770,2421,3,NULL,No,17,3,4,80,2,5,1,4,4,1,4,1,0
419,"Jeffrey Sanchez",29,No,"Travel Rarely",1464,"Research and Development",1,5,Medical,1,2,Male,2022-06-07,56,3,3,"Manufacturing Director",2,Divorced,8060,4030,5,NULL,No,22,3,3,80,0,9,2,1,2,1,2,1,0
6138,"Rebecca Young",45,No,"Travel Rarely",1074,"Research and Development",3,3,"Life Science",1,2,Female,2005-10-02,30,3,4,"Healthcare Representative",2,Divorced,12721,25088,1,NULL,No,24,4,4,80,1,23,3,3,19,10,3,1,0
4134,"Ashley Sanchez",25,No,"Travel Frequently",424,"Research and Development",3,5,Medical,1,3,Female,2024-11-26,79,3,1,"Healthcare Representative",1,Single,2673,18516,1,NULL,No,11,3,3,80,0,4,0,4,0,0,0,0,0
6684,"Steven Young",45,Yes,"Travel Frequently",1457,"Research and Development",26,3,"Life Science",1,3,Male,2020-09-03,99,3,3,"Laboratory Technician",4,Single,8261,7526,3,NULL,Yes,14,3,3,80,0,23,2,4,4,2,2,1,1
3289,"Robert Hill",26,No,"Travel Rarely",819,Sales,5,2,Other,1,1,Male,2021-12-04,92,3,3,"Sales Representative",3,Married,9394,17083,3,NULL,Yes,15,3,3,80,1,6,2,4,3,2,3,0,0
679,"David Wright",27,No,"Travel Frequently",1476,"Research and Development",9,3,"Life Science",1,4,Male,2022-06-21,97,4,4,"Research Director",1,Single,12539,13122,2,NULL,No,20,4,2,80,0,9,0,4,2,2,2,2,0
5767,"George Thompson",19,No,"Travel Rarely",1130,"Research and Development",2,3,Medical,1,1,Male,2024-02-09,99,4,1,"Research Director",4,Married,2687,7759,1,NULL,No,24,4,2,80,0,0,2,2,0,0,0,0,0
2536,"James Lee",47,Yes,"No Travel",707,"Research and Development",4,5,"Life Science",1,1,Male,2002-04-02,72,2,3,"Research Scientist",1,Single,7431,26885,7,NULL,Yes,18,3,1,80,0,27,4,2,22,22,0,12,1
9255,"Ronald Scott",39,Yes,"Travel Rarely",1443,"Research and Development",9,2,Other,1,3,Male,2015-11-16,68,4,5,"Laboratory Technician",1,Married,16149,3183,3,NULL,Yes,12,3,3,80,2,21,2,3,9,2,8,2,1
3768,"Anthony Johnson",40,No,"Travel Rarely",192,"Research and Development",1,3,"Technical Degree",1,1,Male,2018-05-25,95,3,4,"Research Scientist",2,Single,17271,2239,3,NULL,No,19,3,4,80,0,20,4,3,6,0,1,1,0
6352,"Ronald Williams",41,Yes,"Travel Rarely",869,"Research and Development",1,4,"Life Science",1,4,Male,2013-05-10,58,3,4,"Research Scientist",2,Married,12829,19690,1,NULL,Yes,15,3,1,80,1,22,0,3,11,1,11,7,1
378,"Thomas Martin",46,No,"No Travel",1376,"Human Resources",9,4,"Human Resources",1,3,Male,2019-10-03,71,3,5,"Human Resources",3,Missing,19999,7524,1,NULL,No,15,4,3,80,1,24,2,3,5,2,0,2,0
5951,"Kimberly Williams",32,No,"Travel Rarely",498,"Research and Development",12,4,Other,1,3,Female,2021-12-12,93,3,4,"Research Director",1,Single,11774,11343,1,NULL,No,24,3,1,80,1,12,4,3,3,3,0,2,0
2707,"Sharon Scott",39,No,"Travel Frequently",1447,"Research and Development",20,4,"Technical Degree",1,1,Female,2022-09-13,48,3,5,"Research Scientist",4,Single,19999,8941,5,NULL,No,14,3,4,80,1,20,2,2,2,1,0,0,0
5319,"Lisa Johnson",18,Yes,"No Travel",842,"Research and Development",8,4,"Life Science",1,4,Female,2024-07-22,66,3,1,"Research Scientist",3,Single,3666,19666,3,NULL,No,16,3,3,80,0,0,1,3,0,0,0,0,1
7089,"Stephanie Perez",32,No,"Travel Rarely",1102,"Research and Development",3,4,Medical,1,4,Female,2019-04-12,87,2,3,"Manufacturing Director",3,Single,7568,3770,2,NULL,No,24,3,1,80,1,13,2,3,5,3,5,0,0
4072,"Jason Torres",24,No,"Travel Rarely",883,"Research and Development",6,1,"Life Science",1,1,Male,2020-09-11,75,4,1,"Healthcare Representative",2,Divorced,2453,12704,0,NULL,No,13,3,1,80,0,5,3,3,4,0,1,2,0
8423,"Edward Miller",28,No,"Travel Rarely",762,"Research and Development",15,3,"Life Science",1,1,Male,2015-02-09,45,3,3,"Healthcare Representative",4,Married,7451,18417,4,NULL,Missing,18,3,2,80,1,10,5,3,9,3,4,1,0
6495,"Dorothy Martinez",42,No,"Travel Frequently",324,"Research and Development",5,3,"Technical Degree",1,4,"Unmapped Value",2018-01-07,86,3,3,"Laboratory Technician",4,Married,8532,10432,2,NULL,No,21,4,4,80,1,24,1,3,6,0,6,3,0
3791,"Mark Robinson",42,Yes,"Travel Rarely",645,Sales,1,4,Marketing,1,2,Male,2007-01-13,59,3,5,"Sales Executive",1,Married,14131,25525,4,NULL,Yes,16,3,4,80,1,23,2,3,17,0,7,7,1
8510,"Jeffrey Garcia",39,No,"Travel Frequently",273,Sales,-1,3,"Life Science",1,4,Male,2011-07-18,38,2,5,"Sales Executive",1,Married,16247,26505,4,NULL,No,17,3,3,80,1,18,1,3,13,12,1,5,0
18,"Patricia Scott",29,No,"Travel Rarely",541,"Research and Development",7,4,Medical,1,3,Female,2016-02-16,80,3,4,"Manufacturing Director",3,Married,14278,4140,3,NULL,Yes,14,3,3,80,2,8,2,3,8,3,8,3,0
8929,"Sandra Hill",41,No,NULL,791,Sales,1,3,Other,1,4,Female,2004-05-06,84,3,4,"Sales Representative",2,Married,15698,6473,3,NULL,Yes,16,3,4,80,1,20,2,4,20,12,20,13,0
7249,"Mark Sanchez",33,No,"No Travel",549,"Research and Development",2,3,"Technical Degree",1,4,Male,2024-11-24,38,4,3,Manager,1,Single,6981,15824,4,NULL,No,11,3,3,80,1,13,1,3,0,0,0,0,0
4687,"Joshua Perez",41,Yes,"Travel Rarely",1206,Sales,1,5,Marketing,1,3,Male,2019-10-26,30,3,4,"Sales Representative",4,Single,11650,9400,2,NULL,No,22,3,4,80,1,19,3,3,5,2,2,2,1
1702,"Jessica Rodriguez",41,No,"Travel Rarely",581,"Research and Development",1,3,Other,1,2,Female,2020-11-14,33,2,4,"Research Scientist",4,Married,11114,9277,3,NULL,Yes,19,4,2,80,0,20,2,2,4,2,4,1,0
3474,"Robert Garcia",36,No,"Travel Rarely",1344,"Research and Development",3,3,"Life Science",1,4,Male,2014-10-29,46,3,5,"Laboratory Technician",4,Married,14867,13079,1,NULL,Yes,24,3,3,80,0,16,2,3,10,6,6,0,0
8386,"Brian Smith",42,Yes,"Travel Frequently",1095,"Research and Development",3,3,"Life Science",1,2,Male,2010-01-24,68,4,3,Manager,1,Married,10849,8028,2,NULL,No,14,3,1,80,0,22,0,3,14,5,9,7,1
2494,"Sarah Miller",30,Yes,"Travel Frequently",1467,"Human Resources",5,4,"Technical Degree",1,4,Female,2015-03-24,94,2,3,"Human Resources",1,Divorced,11699,26619,3,NULL,No,13,3,3,80,0,11,1,2,9,3,5,3,1
1968,"Lisa Allen",49,Yes,"Travel Rarely",899,Sales,4,4,Missing,1,1,Female,2016-01-26,92,3,5,"Sales Representative",3,Divorced,18617,4128,3,NULL,No,19,3,3,80,1,31,1,3,8,7,2,2,1
7411,"Jeffrey Scott",28,No,"Travel Rarely",1135,"Research and Development",13,2,"Life Science",1,4,Male,2022-05-15,58,2,3,"Research Scientist",1,Married,7864,16376,1,NULL,No,16,4,2,80,2,6,2,3,2,2,0,2,0
2068,"Melissa Jones",40,No,"Travel Rarely",1178,"Research and Development",5,3,"Technical Degree",1,4,Female,2023-02-08,55,4,4,"Research Scientist",1,Married,16050,21024,1,NULL,Yes,13,4,1,80,1,18,5,2,1,0,0,1,0
4290,"Dorothy Johnson",27,Yes,"Travel Frequently",210,"Human Resources",8,4,"Human Resources",1,3,Female,2020-01-04,46,3,1,"Human Resources",1,Married,1323,7404,5,NULL,No,12,3,1,80,2,5,1,3,4,2,2,0,1
5185,"David Lopez",32,Yes,"Travel Frequently",769,Sales,1,4,Marketing,1,4,Male,2020-12-16,65,3,2,"Sales Executive",2,Single,3815,2427,2,NULL,No,16,3,3,80,1,11,2,2,4,0,1,2,1
6327,"Timothy Anderson",38,No,"Travel Frequently",1030,"Research and Development",8,3,"Life Science",1,3,Male,2015-02-07,77,3,5,"Research Scientist",2,Single,19999,23078,5,NULL,Yes,21,3,4,80,1,19,4,3,9,6,8,7,0
9456,"Emily Moore",33,No,"Travel Rarely",1379,Sales,2,3,Marketing,1,3,Female,2017-08-06,55,3,4,"Sales Executive",3,Single,12578,20369,2,NULL,No,22,3,3,80,0,13,2,3,7,1,5,2,0
7862,"Sharon Smith",27,No,"No Travel",1035,Sales,13,3,Marketing,1,3,Female,2019-03-04,35,3,2,"Sales Executive",4,Married,4628,7946,2,NULL,No,24,3,3,80,1,8,1,4,5,3,4,3,0
7632,"Anthony Robinson",30,No,"Travel Rarely",1137,"Research and Development",13,3,"Technical Degree",1,2,Male,2023-05-13,55,4,2,"Research Scientist",1,Single,6214,14956,4,NULL,Yes,21,3,2,80,0,8,6,3,1,0,1,0,0
4499,"Melissa Walker",38,No,"Travel Frequently",1418,"Research and Development",1,3,"Life Science",1,4,Female,2018-12-07,30,3,5,"Research Scientist",3,Married,18108,17532,4,NULL,No,16,3,1,80,0,18,2,4,6,5,5,1,0
2826,"Thomas Allen",51,No,"Travel Frequently",225,"Research and Development",4,3,"Life Science",1,2,Male,2005-10-30,67,3,5,"Healthcare Representative",4,Married,16708,25241,2,NULL,No,21,3,1,80,1,29,2,3,19,11,6,3,0
7826,"Karen Harris",18,No,"Travel Frequently",933,"Research and Development",3,3,Medical,1,3,Female,2024-06-17,34,3,1,"Laboratory Technician",3,Married,1912,26509,5,NULL,No,23,3,4,80,1,0,2,4,0,0,0,0,0
