EmployeeNumber,EmployeeName,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HireDate,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
7491,Matthew Sanchez,28,No,Travel_Rarely,874,Research & Development,3,3,Technical Degree,1,3, Male,10/31/2018,77,4,4,Manufacturing Director,2,MARRIED,15191,9008,2,Y,No,16,3,4,80,0,7,3,3,6,1,2,1
4004,Joshua Harris,37,No,Travel_Rarely,1066,Research & Development,5,4,Life Sciences,1,2, Male,03/04/2012,55,2,4,Laboratory Technician,4,Married,14710,4686,5,Y,No,24,3,3,80,0,17,5,1,12,11,4,8
9576,Linda Young,39,No,Travel_Rarely,1181,Research & Development,10,3,Medical,1,3,Female,01/30/2024,98,2,3,Research Scientist,1,SINGLE,9441,21353,2,Y,NO,21,3,3,80,1,17,3,3,0,0,0,0
2220,Thomas Jones,33,No,TRAVEL_FREQUENTLY,649,Sales,1,2,Marketing,1,3,Male,02/13/2017,99,4,3,Sales Representative,1,Single,"$7,821",22028,4,Y,No,17,3,4,80,0,14,3,3,7,2,5,7
1969,Ronald King,44.0,No,Travel_Frequently,818,Research & Development,2,4,Medical,1,4,Male,2018-05-18,65,3,4,Healthcare Representative,4,Divorced,"14,461",13855,4,Y,No,14,3,3,80,1,23,3,3,6,0,2,2
4925,Ashley Flores,45,No,Travel_Rarely,512,Research & Development,1,4,Life Sciences,1,1,female,04/06/2006,98,3,3,Healthcare Representative,2,Divorced,10087,5690,4,Y,NO,19,3,1,80,3,25,2,3,18,12,17,18
8926,  Michelle Jones  ,49,No,Travel_Rarely,643,Research & Development,1,4,Marketing,1,3,Female,NULL,39,3,4,Laboratory Technician,3,Single,13737,20855,1,Y,No,17,3,3,80,2,31,0,4,30,17,18,7
3085,James Allen,30,No,Travel_Frequently,220,Research & Development,8,2,Other,1,2,Male,14-Dec-2017,71,1,4,Laboratory Technician,1,Married,15965,21345,3,Y,no,18,3,1,80,1,12,3,4,7,5,2,7
4575,Michael Johnson,34,Yes,Travel_Rarely,1322,Research & Development,19,3,Life Sciences,1,2,Male,23-Feb-2019,88,1,3,Laboratory Technician,4,DIVORCED,8793,10655,3,Y,No,13,3,3,80,2,14,2,2,5,5,3,4
7138,Ryan Martin,44,No,Travel_Rarely,340,Sales,1,3,Marketing,1,2,M,12/06/2021,85,3,3,Sales Representative,4,Single,"$8,412",17724,5,Y,YES,16,3,4,80,0,22,2,4,3,3,0,1
6070,Timothy King,37,No,Travel_Rarely,1301,Sales,5,3,Mktg,1,3,Male,"February 07, 2020",55,3,3,Sales Representative,4,Divorced ,8529,12391,3,Y,No,22,3,4,80,1,15,1,4,4,1,3,1
3469,Donna Taylor,32,No,Travel_Rarely,1244,Research & Development,1,3,Life Sciences,1,1,Female,08/26/2015,77,3,4,Manager,4,Single,"11,221",26040,2,Y,No,15,3,4,80,0,13,2,3,9,2,9,5
724,William Harris,33,No,Travel_Rarely,743,Research & Development,7,3,Medical,1,3, Male,05/01/2024,90,3,4,Healthcare Representative,4,Divorced,8520,6156,2,Y,No,13,4,2,80,1,13,0,2,0,0,0,0
3671,Ryan Wright,43,No,Travel_Rarely,998,research & development,9,4,Life Sciences,1,2,male,11/02/2004,93,2,3,Research Scientist,3,married,NA,12915,2,Y,Yes,22,3,2,80,0,25,1,3,20,18,11,13
3683,Melissa Jackson,44,No,Travel_Rarely,659,Research & Development,8,3,Tech Degree,1,1,Female,18/10/2017,60,3,4,Manager,4,Maried,"$13,950",6774,4,Y,N/A,14,3,4,80,1,22,2,3,7,2,6,5
9593,Gary Ramirez,53,No,Travel_Rarely,$723,Sales,29,3,Life Sciences,1,1,Male,23/08/1992,72,3,3,Sales Executive,4, Married,8959,11447,1,Y,Yes,20,3,4,80,1,33,4,3,32,21,13,20
3612,Kevin Perez,31,No,Travel_Rarely,$1369,Research & Development,29,3,Human Resources,1,3,Male,24/09/2015,50,1,3,Manufacturing Director,4,Divorced ,10027,13770,2,Y,No,12,3,3,80,1,11,5,2,9,8,7,0
420,Michael Gonzalez,51,No,Travel_Rarely,1347,Sales,9,2,Life Sciences,1,3,M,30-Jan-2007,30,4,3,Sales Executive,1,Married,7345,22960,2,Y,No,15,3,2,80,3,30,3,2,17,14,1,11
5911,RYAN RODRIGUEZ,40,No,Travel_Rarely,752,RESEARCH & DEVELOPMENT,5,4,Life Sciences,1,2,male,2014-10-04,97,3,5,Laboratory Technician,3,Single,18164,4452,4,Y,NO,11,3,2,80,0,22,4,2,10,5,0,7
8066,Rebecca Scott,40,No,Travel_Rarely,$325,Sales,NULL,3,Medical,1,1,Female,09/09/2012,65,3,5,Sales Executive,1,Married,"$17,942",18966,1,Y,No,16,3,3,80,0,19,2,3,12,4,10,7
1577,Anthony Nguyen,31.0,Yes,Travel_Frequently,593,sales,6,5,Marketing,1,3,Male,10/01/2020,94,3,4,Sales Representative,1,Divorced,"$13,813",23486,2,Y,No,14,3,3,80,0,10,2,2,4,3,2,1
1971,Patricia Hill,46,No,Travel_Rarely,1118, Human Resources,4,3,HR,1,3,FEMALE,13-Sep-2001,46,3,4,Human Resources,3,Single ,"$12,504",23661,3,Y,No,11,3,3,80,1,25,6,2,23,18,10,22
2263,Jennifer Wright,24,Yes,TRAVEL_RARELY,1063,Sales,1,4,technical degree,1,2,Female,24-Dec-2021,78,3,1,Manager,2,Married,2951,16970,3,Y,Yes,22,3,3,80,1,3,2,4,3,0,0,1
8811,Rebecca Lee,55,No,Non-Travel,unknown,Sales,9,2,Marketing,1,1,Female,1992-01-06,36,3,5,Sales Executive,1,Married,13158,16122,1,Y,Yes,22,3,1,80,0,37,1,3,32,28,26,32
3997,Deborah Walker,47,No,travel_rarely,$202,RESEARCH & DEVELOPMENT,5,3,Med,1,2,Female,09/02/1998,56,2,5,Research Scientist,4,Married,"18,676",24159,-,Y,Yes,14,3,4,80,2,29,2,3,26,0,21,19
6767,  Jennifer Torres  ,25,No,Travel_Rarely,1071,Research & Development,3,3,Life Sciences,1,1,Female,09/17/2023,72,3,2,Laboratory Technician,3,Married,5373,20246,3,Y,No,12,3,3,80,0,4,5,3,1,0,1,1
4706,Paul Wilson,48,No,Travel_Rarely,540,research & development,14,2,Life Sciences,1,1, Male,04/29/2016,58,3,3,Healthcare Representative,1,MARRIED,11211,21829,1,Y,Yes,22,3,2,80,1,27,3,4,8,3,1,3
5075,Gary Robinson,39,No,Travel_Rarely,847,Research & Development,18,4,Medical,1,2,Male,02/12/2018,30,2,5,Research Scientist,2,Married,18624,20188,3,Y,Yes,23,3,4,80,2,17,6,3,6,6,0,5
4832,Susan Wilson,41,No,Non-Travel,366,Research & Development,2,4,Life Sciences,1,4,Female,"May 21, 2020",42,3,5,Laboratory Technician,4,married,18214,17788,2,Y,no,23,3,3,80,0,20,1,2,4,1,3,0
4980,Sarah Smith,32,No,Travel_Rarely,869,Sales,5,2,Other,1,1,Female,2020-08-31,45,3,3,Sales Representative,1,Married,7802,10273,5,Y,No,12,3,3,80,0,10,4,2,4,2,0,0
8234,Kevin Williams,42,No,Travel Rarely,1496,Research & Development,2,3,Marketing,1,4,Male,2007-11-29,58,3,4,Laboratory Technician,3,Married,"$10,010",10873,1,Y,No,19,4,4,80,1,23,3,2,17,17,15,15
2649,Andrew Williams,28,Yes,Travel_Rarely,1146,RESEARCH & DEVELOPMENT,11,2,Med,1,3,MALE,01/21/2018,58,2,3,Laboratory Technician,1,Divorced ,7084,15780,4,Y,No,13,3,1,80,0,7,4,3,6,1,3,1
8231,Jacob Johnson,23,No,Travel_Rarely,293,Research & Development,2,2,Life Science,1,3,Male,2022-03-27,51,3,3,Manufacturing Director,3,Single,5962,17226,1,Y,No,21,3,3,80,0,2,0,1,2,0,0,0
711,Jeffrey Williams,18.0,No,travel_rarely,1373,Research & Development,9,5,Medical,1,3,M,-,48,1,1,Research Scientist,1,Married,2940,19724,6,Y,No,19,3,4,80,1,0,2,4,0,0,0,0
738,Sandra Allen,46,No,Travel_Rarely,1481,Research & Development,15,4,Life Sciences,1,4,F,2010-08-14,80,2,5,Research Director,3,Divorced ,"19,999",13411,2,Y,No,13,3,1,80,1,24,3,3,14,12,12,7
2091,Cynthia Johnson,49,No,Non-Travel,994,Research & Development,15,2,Medical,1,4,female,15-Aug-2011,79,3,3,Manufacturing Director,3,Divorced,4670,11569,3,Y,No,16,3,4,80,0,30,5,2,13,8,11,4
9530,Dorothy Williams,37,Yes,Travel_Rarely,1285,Sales,1,2,OTHER,1,2,Female,09/05/2016,37,3,5,Sales Representative,1,single,19999,22753,3,Y,NO,22,4,2,80,2,19,1,3,8,0,8,5
3021,John Jackson,44,No,Travel_Rarely,1204,Research & Development,28,3,Medical,1,3,Male,23/05/2018,47,2,4,Research Scientist,2,Married,"16,548",7829,5,Y,0,18,3,3,80,2,22,2,2,6,2,2,4
1779,Robert Lee,28,No,Travel_Rarely,584,Research & Development,10,3,Other,1,4,Male,28/06/2022,63,3,3,Manager,1,Married,$7854.00,7382,5,Y,No,18,3,3,80,0,8,3,3,2,2,1,2
2279,Daniel Harris,36,No,Travel_Rarely,1183,Research & Development,2,4,Technical Degree,1,1,Male,03-May-2022,73,3,4,Laboratory Technician,3,Single,?,6321,0,Y,0,13,3,3,80,3,17,0,4,2,0,2,2
114,Sandra Walker,45,N/A,Travel_Rarely,1195,Research and Development,4,1,Medical,1,3,?,22/07/1999,53,2,3,Manager,2,Married,"$9,849",18137,3,Y,no,20,3,4,80,0,26,3,1,25,7,4,2
5915,William Ramirez,NA,No,Travel_Rarely,1275, Sales,3,1,Marketing,1,4,Male,2023-11-07,30,3,5,Sales Executive,3,Married,19999,18390,6,Y,No,18,3,1,80,1,23,3,2,1,1,1,0
3198,Steven Perez,50,No,Travel_Rarely,909,Research and Development,27,1,Technical Degree,1,2,Male,"April 07, 1995",39,2,4,Research Scientist,1,Married,"13,835",24772,2,Y,No,14,3,4,80,1,30,4,4,29,29,25,28
7566,Jacob Lee,18,No,Travel_Frequently,438,Sales,1,3,Marketing,1,1,Male,2024-06-09,58,3,1,Sales Representative,4,Divorced,"3,077",18842,3,Y,No,12,3,4,80,0,0,2,3,0,0,0,0
2658,Stephanie Harris,51,Yes,Non-Travel,655,HR,11,4,Technical Degree,1,3, Female,29/06/2018,82,2,3,Human Resources,1,Single ,$5576.00,13661,4,Y,No,22,3,1,80,1,30,2,4,6,4,0,3
9245,Andrew Ramirez,42,Yes,Travel Frequently,610,Research & Development,5,4,Technical Degree,1,3,Male,13/10/2012,88,4,4,Manager,1,Divorced,8785,8581,2,Y,No,11,4,3,80,2,21,5,3,12,9,12,10
8242,Deborah Taylor,46,No,Travel_Rarely,391,Research & Development,2,5,Med,1,3,F,17/03/2009,75,4,3,Healthcare Representative,4,Divorced,8202,13742,0,Y,NO,13,3,3,80,0,25,2,3,15,4,6,13
2598,Charles Perez,44,No,Non-Travel,1137,SALES,20,4,Life Sciences,1,4,Male,04/11/2007,34,2,4,Sales Representative,2,Single,"14,526",5510,3,Y,No,22,3,4,80,0,25,0,3,17,6,16,1
6644,Robert Perez,44,No,Travel_Rarely,$1140,Sales,1,1,Other,1,4,Male,2013-08-29,38,3,5,Sales Executive,2,Married,19999,8782,3,Y,No,20,3,3,80,0,22,4,3,11,5,5,11
3491,JAMES LEWIS,38,No,Travel_Rarely,460,Sales,5,4,Life Sciences,1,3, Male,2017-01-20,97,2,3,Sales Representative,4,Divorced,9645,18499,4,Y,No,17,3,3,80,1,16,2,3,7,1,6,5
6862,Cynthia Garcia,19.0,Yes,Travel_Rarely,1273,Research and Development,9,2,Technical Degree,1,2,Female,08/04/2024,34,3,1,Laboratory Technician,4, Married,"1,978",3619,1,Y,No,18,3,1,80,1,0,3,3,0,0,0,0
5849,Amanda Walker,45,No,Travel_Frequently,1114,sales,4,3,Marketing,1,3,FEMALE,2007-01-31,76,1,4,Sales Executive,2,Married,"$13,531",9230,4,Y,no,12,3,3,80,1,25,2,3,17,14,3,16
3700,Ryan Lewis,35,No,Travel_Rarely,402,Sales,14,2,Marketing,1,4,Male,18/12/2015,31,3,4,Sales Representative,3,married,13217,26660,3,Y,No,23,3,2,80,0,14,2,2,9,7,3,5
8613,Robert Hill,29,No,,743,research & development,14,2,Life Sciences,1,1,Male,06/24/2022,36,3,2,Healthcare Representative,1,MARRIED,"6,111",20214,4,Y,No,13,3,4,80,2,7,2,3,2,1,2,1
3696,  Gary Flores  ,28,No,Travel_Frequently,140,Research & Development,6,3,Life Sciences,1,4,Male,2020-04-01,38,4,3,Laboratory Technician,1,Single,NA,13968,1,Y,Yes,19,4,4,80,2,10,2,1,4,3,1,0
5652,James Allen,42,Yes,Travel_Frequently,335,Human Resources,9,3,N/A,1,4,Male,04/14/2007,43,3,5,Human Resources,2,Single,"$19,227",9175,3,Y,Yes,19,3,4,80,3,20,1,2,17,13,6,14
321,Barbara Smith,40,No,Non-Travel,1180,SALES,15,4,Marketing,1,3,F,25/05/2014,97,2,5,Sales Executive,4,Married,19999,21848,0,Y,Yes,17,3,3,80,0,18,6,3,10,1,6,10
395,Jeffrey Allen,47,No,Travel_Rarely,897,Sales,6,4,Other,1,1,M,,71,3,4,Sales Representative,4,Divorced,12289,3192,2,Y,No,13,3,4,80,2,28,3,3,25,9,3,21
5619,Timothy Smith,26.0,No,Travel_Rarely,663,research & development,8,2,Life Science,1,4,Male,10/22/2024,47,4,4,Research Scientist,3,Married,12568,21933,4,Y,Yes,12,3,3,80,1,8,3,4,0,0,0,0
8465,William Brown,41,No,Travel_Rarely,705,Research & Development,1,5,Life Sciences,1,1,Male,2022-12-26,80,2,4,Laboratory Technician,2,Married,"$14,046",23214,4,Y,No,16,3,1,80,0,23,2,2,2,2,0,0
6475,Jeffrey Perez,38,No,TRAVEL_RARELY,1313,Research & Development,9,5,Medical,1,1,Male,2019-11-06,96,4,4,Research Director,3,Married,"$14,816",22033,5,Y,N,22,3,4,80,1,16,0,3,5,0,2,3
5601,Ronald Lewis,33,No,NULL,1408,Research & Development,3,3,Life Sciences,1,2, Male,12/28/2021,43,3,3,Healthcare Representative,3,Married,8757,5495,4,Y,No,13,4,4,80,1,13,2,4,3,1,2,2
1039,Ronald Flores,27,Yes,Travel_Rarely,718,Sales,7,4,Marketing,1,3,Male,2023-04-14,36,3,2,Sales Representative,3,Divorced,$6145.00,16157,4,Y,No,24,3,4,80,0,8,4,2,1,0,1,0
4357,Margaret Allen,36,No,Travel_Rarely,497, Sales,29,4,Marketing,1,4,Female,05/27/2010,84,4,4,Sales Executive,2,Single,"$15,740",18034,3,Y,NO,18,4,4,80,1,14,3,3,14,6,8,5
6935,Joshua Lee,35,No,TRAVEL_RARELY,869, Sales,1,3,unknown,1,4,Male,12/16/2018,62,2,3,Sales Executive,4,Single,"$11,259",17572,3,Y,No,20,3,1,80,0,15,4,1,6,0,5,2
8754,Lisa Gonzalez,43,No,TRAVEL_RARELY,1146,Research & Development,2,5,Medical,1,3,Female,"June 24, 2003",76,4,5,Laboratory Technician,2,Single,19999,11582,3,Y,No,22,3,4,80,0,21,2,3,21,17,13,10
4961,Ronald Perez,44,No,Travel_Rarely,1377,Research & Development,2,4,Medical,1,1, Male,23/03/2019,49,1,5,Healthcare Representative,4,Maried,16301,21111,1,Y,No,20,4,1,80,0,22,2,3,5,2,5,1
323,Jennifer Walker,33,No,TRAVEL_RARELY,1389,Research & Development,4,4,?,1,1,Female,09/20/2022,50,3,5,Laboratory Technician,2,Divorced,$16891.00,20208,2,Y,No,20,3,1,80,0,13,6,3,2,2,0,1
3584,Donna Rodriguez,32,No,Travel_Rarely,349,Research & Development,16,5,Marketing,1,3,Female,24-Sep-2015,60,3,2,Manufacturing Director,3,married,"3,624",15253,2,Y,No,16,3,3,80,1,11,6,3,9,1,3,0
3193,Andrew Rodriguez,37,No,Travel_Rarely,1173,Sales,11,5,Marketing,1,4,Male,02/12/2021,95,2,3,Sales Representative,3,Divorced,$5164.00,3830,5,Y,No,16,3,1,80,0,15,4,3,3,3,0,1
7199,Melissa Sanchez,32,No,Travel_Rarely,1057,Sales,7,5,Other,1,4,female,06/19/2013,85,3,5,Sales Executive,2,Married,19192,22317,0,Y,Yes,17,3,4,80,2,12,2,3,11,5,10,10
2197,Susan Smith,29,No,travel_frequently,194,Research & Development,1,4,Life Sciences,1,3,Female,"September 09, 2020",69,3,3,Manufacturing Director,3,Married,10243,16922,4,Y,No,16,4,1,80,1,7,2,1,4,2,1,0
5513,Elizabeth Torres,31.0,Yes,TRAVEL_RARELY,$1494,Research & Development,1,2,Medical,1,2,FEMALE,23-Dec-2018,54,2,3,Laboratory Technician,4,Married,6806,12001,2,Y,NO,22,3,3,80,1,12,0,3,6,3,1,0
110,Matthew Hill,52,No,Non-Travel,1365,Research & Development,9,4,Human Resources,1,4,male,"October 07, 2013",77,3,4,Laboratory Technician,1,divorced,12079,25194,2,Y,No,16,3,1,80,0,33,3,3,11,11,0,10
4061,Deborah Hernandez,49,No,Travel_Rarely,1153,Research & Development,6,4,Medical,1,3,Female,2024-05-13,80,4,4,Manager,4,married,15716,12046,1,Y,Yes,19,4,3,80,0,30,6,3,0,0,0,0
2045,George Lee,42,No,Travel_Rarely,913,Research & Development,12,1,Medical,1,4,MALE,2006-08-10,32,3,4,Healthcare Representative,1,Married,"10,595",13866,2,Y,Yes,24,4,3,80,1,20,1,3,18,17,2,9
2900,Kevin Jackson,21,No,Travel_Rarely,924,Research & Development,7,4,medical,1,2,male,11/25/2024,61,3,1,Laboratory Technician,3,Single,2784,13962,2,Y,0,14,3,3,80,0,0,3,3,0,0,0,0
7230,Linda Miller,49,No,Travel_Frequently,1405,Sales,7,2,Marketing,1,4,Female,2009-09-24,69,3,3,Sales Executive,1,Married,"10,730",24749,1,Y,Yes,14,3,3,80,2,27,5,3,15,11,14,15
7604,Emily White,47,No,Travel_Rarely,369,Sales,12,5,Marketing,1,1,FEMALE,07/18/2022,32,2,3,Sales Executive,3,Divorced,"$7,082",16211,2,Y,No,18,3,2,80,2,25,4,3,2,1,1,0
1367,Thomas Young,49,No,Travel_Frequently,325,Research & Development,1,3,N/A,1,1,Male,30-Mar-2020,82,2,5,Research Scientist,3,Divorced,19999,15566,4,Y,No,17,3,3,80,2,28,2,4,4,1,2,2
9518,Andrew White,36.0,Yes,Travel_Rarely,176,Human Resources,7,3,Human Resources,1,3,Male,2016-04-30,64,3,3,Human Resources,1,Married,"10,072",26396,2,Y,0,24,3,4,80,1,16,2,3,8,7,1,5
2913,George Miller,32,No,Travel_Rarely,1233,sales,5,4,LIFE SCIENCES,1,1,Male,07/26/2016,84,2,5,Sales Executive,3,Married,"16,193",19405,6,Y,No,11,3,4,80,1,13,2,2,8,7,4,2
1338,Anthony Hernandez,52,No,TRAVEL_RARELY,775,Research & Development,5,4,Life Sciences,1,4, Male,06/10/2001,74,3,3,Research Scientist,4,Single ,10119,25312,1,Y,1,16,4,4,80,1,34,1,3,23,13,6,1
9098,Amanda Taylor,36,No,-,1296,N/A,9,3,Life Sciences,1,2,Female,21-Sep-2006,44,3,4,Research Scientist,1,Maried,9623,20097,1,Y,No,15,3,4,80,1,18,6,3,18,1,9,8
7635,Nancy Lewis,54,No,Travel_Rarely,169,Research & Development,5,5,Med,1,3,Female,26/09/2012,86,2,5,Manager,4,Married,19999,25289,2,Y,0,21,3,3,80,0,33,2,3,12,7,8,2
4271,Emily Williams,40,No,Travel_Rarely,1130,human resources,29,3,Medical,1,2,Female,12/09/2003,78,3,3,Manager,2,Divorced ,8572,7492,3,Y,No,21,3,1,80,0,22,2,2,21,21,3,20
8580,Robert Martin,42,No,TRAVEL_RARELY,1495,Research & Development,5,2,Medical,1,1,Male,06/05/2001,40,3,5,Research Scientist,4,Single,$19999.00,17482,1,Y,no,19,3,2,80,1,24,2,2,23,18,20,0
9094,David Allen,32,No,Travel_Rarely,934,Research and Development,13,2,Mktg,1,1, Male,10-Sep-2020,84,2,4,Manager,4,Married,11597,6935,2,Y,No,14,3,2,80,1,13,4,3,4,3,3,2
5876,Joshua Wright,50,No,n/a,922,Research & Development,2,3,Marketing,1,2,male,1998-02-22,80,3,3,Laboratory Technician,2,Married,6651,16166,4,Y,Yes,17,3,2,80,3,28,2,4,26,20,16,1
193,Timothy Lopez,46,No,Travel_Rarely,999,Sales,9,3,Marketing,1,2,MALE,15/04/2020,84,3,3,Sales Executive,1,Married,10662,10816,4,Y,No,21,3,4,80,0,24,2,3,4,1,3,0
7838,Gary Hernandez,39,Yes,Travel_Rarely,1266,RESEARCH & DEVELOPMENT,11,4,Medical,1,3,Male,2004-09-28,68,4,4,Manager,1,Maried,15017,10182,4,Y,No,18,3,4,80,0,20,1,3,20,15,19,3
4784,Dorothy Flores,28,Yes,Travel_Frequently,236,RESEARCH & DEVELOPMENT,3,2,Medical,1,3,Female,2017-07-20,48,1,2,Laboratory Technician,3,Divorced,"6,078",6734,3,Y,NULL,20,3,3,80,0,7,2,2,7,3,0,5
6521,Paul Perez,48,No,Travel_Rarely,1071,Research & Development,1,4,Technical Degree,1,3,male,2012-06-15,97,4,3,Manufacturing Director,1, Single,"8,770",21884,1,Y,No,24,3,4,80,1,28,4,2,12,4,0,10
1207,Lisa Martinez,40,Yes,Travel_Rarely,863,Human Resources,10,2,Human Resources,1,3,Female,2019-03-08,88,4,5,Human Resources,1,Single,"15,100",8567,4,Y,Yes,19,3,4,80,3,21,1,2,5,3,3,0
332,Margaret Johnson,24.0,No,Travel_Rarely,859,Research & Development,1,3,Other,1,1,Female,08/26/2024,97,2,2,Manager,4,Divorced,"6,637",4700,3,Y,Yes,14,3,4,80,0,2,2,1,0,0,0,0
1329,David Lee,42,No,Travel_Rarely,865,Sales,15,2,Marketing,1,3,M,"February 22, 2016",56,2,3,Sales Executive,3,Single,"$12,430",4314,1,Y,Yes,17,4,3,80,0,24,5,3,8,5,8,5
6508,laura ramirez,39,Yes,Travel_Frequently,886,Sales,11,3,Marketing,1,3,Female,2008-07-21,65,2,5,Sales Representative,1,Married,19999,7267,3,Y,yes,11,3,4,80,0,21,2,1,16,16,5,4
8236,Robert Johnson,18,Yes,Travel_Rarely,1165,Research & Development,7,1,Technical Degree,1,1,Male,07/23/2024,53,2,1,Manager,2,Married,$2735.00,17899,2,Y,1,11,3,3,80,0,0,4,2,0,0,0,0
6933,Michael Rodriguez,41,No,Non-Travel,778,Research & Development,5,4,Technical Degree,1,2,Male,04/30/2018,87,1,4,Laboratory Technician,3,Single,12566,25482,0,Y,N,13,3,4,80,1,19,0,3,6,4,1,3
8671,Cynthia Torres,29,No,Travel_Rarely,340,sales,6,3,Marketing,1,4,FEMALE,2018-06-17,48,4,3,Sales Executive,2,Married,"$7,853",20391,3,Y,No,20,3,4,80,2,8,2,2,6,5,6,5
7040,David Scott,36.0,No,Travel_Rarely,$1130,Research & Development,2,3,LIFE SCIENCES,1,1,MALE,2008-11-28,92,3,4,Healthcare Representative,2,Maried,16134,10346,2,Y,No,20,3,4,80,0,16,0,3,16,8,12,2
6799,Margaret Lewis,30,Yes,Travel_Rarely,$1079,Sales,15,3,Marketing,1,1,F,03/20/2024,43,3,2,Sales Representative,3,Single,6423,10185,2,Y,No,11,3,2,80,1,8,2,2,0,0,0,0
1954,Lisa Williams,28,Yes,Travel_Frequently,1097,Sales,6,5,Marketing,1,3,Female,03/30/2019,50,3,3,Sales Executive,4,Married,9941,25775,3,Y,N,11,3,2,80,3,9,2,2,5,5,5,1
2576,Jacob Young,37,No,Travel_Rarely,1317,Research & Development,25,3,Life Science,1,3,Male,2012-03-06,73,4,4,Manufacturing Director,4,married,"$14,741",18115,3,Y,No,16,3,3,80,1,17,1,3,12,10,0,11
8917,Ronald King,31,Yes,Travel_Rarely,685,Research & Development,1,5,Other,1,1,male,2012-08-31,69,3,3,Manufacturing Director,4,Single,"$6,894",8473,2,Y,Yes,13,3,4,80,3,12,2,3,12,3,12,7
1086,Brian Jackson,35,No,Travel_Rarely,1071,Research & Development,29,4,Medical,1,3,MALE,"May 02, 2022",47,2,4,Manager,2,Married,"16,016",25592,3,Y,No,23,4,3,80,1,14,2,2,2,0,2,0
6498,Stephanie Young,30,No,No Travel,$1224,R&D,17,2,Life Sciences,1,2,Female,2024-06-23,83,3,3,Research Scientist,1,Divorced,"5,917",21555,4,Y,NO,19,4,2,80,0,10,0,2,0,0,0,0
4935,John Lewis,47,No,Travel_Rarely,605,Sales,1,3,Marketing,1,4,Male,2003-10-18,60,4,3,Sales Representative,4,Divorced,"$8,656",8978,5,Y,No,23,3,2,80,0,25,6,4,21,2,14,18
2856,Timothy Jones,40,No,Travel_Rarely,191,Research & Development,4,5,Life Sciences,1,3,male,29-Jun-2008,56,4,5,Laboratory Technician,3,Married,19999,26881,3,Y,Y,14,3,2,80,2,18,2,2,16,5,16,6
6798,PAUL HARRIS,37,No,Travel_Rarely,1031,Sales,10,3,Marketing,1,4,Male,"December 22, 2013",36,2,4,Sales Executive,3,SINGLE,17419,23952,4,Y,N,18,4,4,80,0,18,3,3,11,1,1,2
7202,Betty Jones,43,No,Travel_Rarely,1270,Research & Development,12,4,Technical Degree,1,3,Female,11/27/2020,99,4,4,Laboratory Technician,1,Divorced,9905,18025,7,Y,No,16,3,3,80,1,21,2,3,4,4,4,0
4081,Michelle Miller,53,No,Travel Rarely,880,Research & Development,7,3,Technical Degree,1,3,female,2013-09-06,98,2,3,Laboratory Technician,4,Single,11458,6482,2,Y,N,24,4,2,80,2,34,1,2,11,9,11,11
706,Barbara King,54,No,Travel_Rarely,1193,Research & Development,5,3,Life Sciences,1,1,Female,09/03/1997,66,3,3,Research Scientist,3,Married,8471,2348,2,Y,1,17,3,1,80,0,36,2,4,27,5,6,4
4537,Stephanie Martin,53,No,Travel_Rarely,755,Sales,2,3,Life Sciences,1,4,Female,02/25/2002,60,3,3,Sales Representative,1,SINGLE,9657,10111,2,Y,No,11,3,4,80,0,33,4,1,22,8,7,11
9277,Michael Wilson,39,No,Travel_Frequently,1490,Sales,11,4,other,1,3,Male,2012-06-06,85,2,3,Sales Executive,2,Single,9154,17565,1,Y,Unknown,21,3,1,80,0,18,2,3,12,1,3,10
8266,Richard Jackson,33,No,Travel_Rarely,409,Research & Development,29,3,Life Sciences,1,4, Male,09-May-2010,91,2,4,Healthcare Representative,3,MARRIED,"12,721",14535,3,Y,No,17,3,3,80,1,15,3,3,14,13,0,12
4761,Joshua Lopez,38,No,Travel_Rarely,,Sales,4,4,Technical Degree,1,1,Male,16/10/2017,88,2,3,Sales Executive,4,Single,"$7,511",13304,0,Y,no,18,3,3,80,1,19,3,2,7,5,5,1
230,Edward White,40,No,Travel_Rarely,1069,Research & Development,11,3,Life Sciences,1,3,NA,28/05/2019,78,2,3,Manager,3,Divorced,6942,15407,1,Y,No,12,3,1,80,2,18,2,2,5,0,0,2
3565,Sharon Perez,32,No,Travel_Rarely,772,Research & Development,16,4,Technical Degree,1,2,Female,"June 09, 2016",83,2,3,Research Scientist,1,Married,10194,7293,2,Y,0,15,3,3,80,1,11,6,3,8,7,3,3
7665,richard walker,46.0,No,Travel_Rarely,307,Research & Development,2,4,Life Sciences,1,4,Male,23-Jan-1997,44,3,3,Research Director,3,Divorced,7495,7310,2,Y,No,21,3,1,80,1,28,2,4,27,9,22,23
